Metric_ID,Category,Metric_Name,Value,Unit,Description,Source,Paper
P1_M1,Models,Num_Models_Tested,18.0,count,Total number of state-of-the-art LLMs evaluated across all attack surfaces.,Lupinacci et al. 2025 - Dark Side of LLMs,Lupinacci_et_al_2025
P1_M2,Direct_Prompt_Injection,Direct_PI_Vulnerable_Models_Percent,94.4,percent,Percentage of 18 tested LLMs that were vulnerable to Direct Prompt Injection at least once.,Lupinacci et al. 2025 - Table 2 (Direct Prompt Injection)[file:235],Lupinacci_et_al_2025
P1_M3,Direct_Prompt_Injection,Direct_PI_Vulnerable_Models_Count,17.0,count,Number of LLMs (out of 18) that executed malware in at least one Direct Prompt Injection scenario.,Lupinacci et al. 2025 - Table 2 (Direct Prompt Injection)[file:235],Lupinacci_et_al_2025
P1_M4,Direct_Prompt_Injection,Direct_PI_Identified_Malicious_But_Still_Executed,5.0,count,Number of LLMs that recognized the malicious nature of the prompt but still executed the requested malware payload after being jailbroken.,Lupinacci et al. 2025 - Direct Prompt Injection discussion[file:235],Lupinacci_et_al_2025
P1_M5,RAG_Backdoor,RAG_Backdoor_Vulnerable_Models_Percent,83.3,percent,Percentage of 18 LLMs vulnerable to RAG Backdoor (observation/thought attack) with malware executed.,Lupinacci et al. 2025 - Table 3 (RAG Backdoor Attack)[file:235],Lupinacci_et_al_2025
P1_M6,RAG_Backdoor,RAG_Backdoor_Vulnerable_Models_Count,15.0,count,Number of LLMs (out of 18) that executed malware under RAG Backdoor attack conditions.,Lupinacci et al. 2025 - Table 3 (RAG Backdoor Attack)[file:235],Lupinacci_et_al_2025
P1_M7,RAG_Backdoor,RAG_Backdoor_Correct_Answers_Despite_Attack_Percent,100.0,percent,Share of vulnerable models that still produced correct user-facing answers while executing the hidden malicious payload during RAG Backdoor attacks.,Lupinacci et al. 2025 - RAG Backdoor discussion[file:235],Lupinacci_et_al_2025
P1_M8,Inter_Agent_Trust,Inter_Agent_Trust_Vulnerable_Models_Percent,100.0,percent,Percentage of LLMs vulnerable to Inter-Agent Trust Exploitation in the multi-agent setting.,Lupinacci et al. 2025 - Inter-Agent Trust results[file:235],Lupinacci_et_al_2025
P1_M9,Inter_Agent_Trust,Inter_Agent_Trust_Vulnerable_Models_Count,18.0,count,Number of LLMs (out of 18) that executed malicious commands when they came from a peer agent in the multi-agent scenario.,Lupinacci et al. 2025 - Inter-Agent Trust results[file:235],Lupinacci_et_al_2025
P2_M1,Taxonomy,Threat_Categories_in_Taxonomy,5.0,count,"Number of top-level threat categories defined for agentic AI systems: (i) Prompt Injection and Jailbreaks, (ii) Autonomous Cyber-Exploitation and Tool Abuse, (iii) Multi-Agent and Protocol-Level Threats, (iv) Interface and Environment Risks, (v) Governance and Autonomy Concerns.",Agentic AI Security survey - Threat taxonomy section[web:244],Agentic_AI_Survey
P2_M2,Evaluation_Frameworks,ASTRA_Agent_Archetypes,10.0,count,ASTRA security evaluation framework simulates 10 agent archetypes to test agentic steerability under adversarial scenarios.,Agentic AI Security topic summary citing ASTRA framework[web:237],Agentic_AI_Survey
P2_M3,Evaluation_Frameworks,ASTRA_Tools,37.0,count,ASTRA framework covers 37 tools in its simulation of agent workflows for security evaluation.,Agentic AI Security topic summary citing ASTRA framework[web:237],Agentic_AI_Survey
P2_M4,Evaluation_Frameworks,ASTRA_Attack_Scenarios,140.0,count,ASTRA runs 140 distinct attack scenarios across tools and agent archetypes to measure guardrail violations.,Agentic AI Security topic summary citing ASTRA framework[web:237],Agentic_AI_Survey
P2_M5,Model_Resistance,Grok2_On_CrewAI_Attack_Rejection_Rate,15.4,percent,"Grok2 on CrewAI rejected only 15.4% of 13 evaluated attacks, indicating high policy evasion and low robust refusal rate.",Agentic AI Security topic - Grok2 evaluation summary[web:237],Agentic_AI_Survey
P2_M6,Performance_Overhead,SAGA_Overhead,5.0,percent,Cryptographic and lifecycle management protocols such as SAGA are reported to keep runtime overhead below 5% while providing stronger security controls.,Agentic AI Security topic - Performance and usability trade-offs[web:237],Agentic_AI_Survey
P2_M7,Literature_Scope,Approx_Papers_Surveyed,150.0,count,"Related agentic security survey taxonomizes over 150 papers on applications, threats, and defenses in agentic AI systems.","Survey on Agentic Security: Applications, Threats, and Defenses[web:325]",Agentic_AI_Survey
